source_file,종목명,종목코드,권장호라이즌,last_close,매수가(entry),익절가(tp),손절가(sl),RR,Score_1w,ord_qty,side,confidence,holding_days,valid_until,ATR,buf_close,buf_high,buf_low,요약점수(h1),요약점수(h2),요약점수(h3),ex_base_h1,ex_pen_h1,ex_base_h2,ex_pen_h2,ex_base_h3,ex_pen_h3,flags_h1,flags_h2,flags_h3,warn_bad_RR,h1_MAPE(%),h1_DirAcc(%),h1_Bias,h1_MAE,h1_count,h3_MAPE(%),h3_DirAcc(%),h3_Bias,h3_MAE,h3_count,h2_MAPE(%),h2_DirAcc(%),h2_Bias,h2_MAE,h2_count,risk_cap_used
pred_iM금융지주_139130.csv,iM금융지주,139130,h2,15610.0,15520.0,16240.0,15260.0,2.77,205.0,0,BUY,0.399,2,2025-12-26T15:20:00+09:00,387.5,350.678,292.201,232.5,0.75,0.65,1.7,0.3,0.45,0.45,0.2,0.75,0.95,DA<MIN;|Bias|>r*MAE,|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,2.449461943511727,57.14285714285714,-329.12240187327075,350.6784167460034,42.0,0.2
pred_BNK금융지주_138930.csv,BNK금융지주,138930,h1,16140.0,16070.0,16600.0,15880.0,2.79,185.0,12,BUY,0.592,1,2025-12-25T15:20:00+09:00,435.0,261.0,278.425,502.075,0.55,0.65,1.0,0.3,0.25,0.45,0.2,0.75,0.25,DA<MIN,|Bias|>r*MAE,DA<MIN,0,1.4518234509706136,42.857142857142854,40.47956789648827,219.07479395700065,43.0,,,,,,,,,,,0.2
pred_한국카본_017960.csv,한국카본,017960,h2,34300.0,33990.0,36480.0,33090.0,2.77,175.0,0,BUY,0.429,2,2025-12-26T15:20:00+09:00,1754.167,1212.827,1621.904,1052.5,1.7,0.9,1.55,0.75,0.95,0.15,0.75,0.6,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,3.883358715972744,50.0,536.5348295349978,1212.8271222377634,42.0,0.2
pred_금호석유화학_011780.csv,금호석유화학,011780,h1,126000.0,125410.0,130170.0,123680.0,2.75,175.0,0,BUY,0.477,1,2025-12-25T15:20:00+09:00,3441.668,2320.32,4077.01,2065.001,0.75,1.8,1.05,0.3,0.45,0.85,0.95,0.35,0.7,DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;|Bias|>r*MAE,0,1.967994247670382,45.23809523809524,1225.364689494291,2320.320051769879,43.0,,,,,,,,,,,0.2
pred_OCI홀딩스_010060.csv,OCI홀딩스,010060,h3,121899.99,120470.0,108610.0,116200.0,-2.78,170.0,0,BUY,0.415,3,2025-12-29T15:20:00+09:00,5966.666,5709.018,6517.363,5196.023,1.8,1.6,0.5,0.85,0.95,0.65,0.95,0.0,0.5,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX,1,,,,,,5.0589961024266685,58.536585365853654,-2331.3833492558147,5709.018383956537,41.0,,,,,,0.2
pred_현대위아_011210.csv,현대위아,011210,h2,71900.0,71350.0,75820.0,69720.0,2.74,165.0,0,BUY,0.43,2,2025-12-26T15:20:00+09:00,3633.333,2180.0,2180.0,2180.0,1.7,0.95,1.0,0.75,0.95,0.25,0.7,0.5,0.5,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;|Bias|>r*MAE,MAPE>MAX,0,,,,,,,,,,,3.062583437705676,59.523809523809526,-1157.177637872242,1922.9316365151178,42.0,0.2
pred_한화생명_088350.csv,한화생명,088350,h2,3425.0,3400.0,3550.0,3360.0,3.75,155.0,0,BUY,0.527,2,2025-12-26T15:20:00+09:00,93.917,72.515,60.48,56.35,1.45,0.55,1.65,0.5,0.95,0.3,0.25,0.7,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,2.3454554093959867,52.38095238095239,28.49922636435153,72.51521877589683,42.0,0.2
pred_녹십자_006280.csv,녹십자,006280,h1,159700.0,158500.0,168290.0,154930.0,2.74,155.0,0,BUY,0.507,1,2025-12-25T15:20:00+09:00,7958.332,4774.999,4774.999,4774.999,0.1,1.95,1.15,0.1,0.0,1.0,0.95,0.4,0.75,,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,0,2.291688653517208,57.14285714285714,1597.453177806943,3291.5190718894783,43.0,,,,,,,,,,,0.2
pred_미래에셋증권_006800.csv,미래에셋증권,006800,h1,23900.0,23600.0,26020.0,22720.0,2.75,150.0,0,BUY,0.256,1,2025-12-25T15:20:00+09:00,1154.167,1181.047,897.512,1779.655,1.025,1.375,1.95,0.075,0.95,0.425,0.95,1.0,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,5.124878691186939,42.857142857142854,960.9838382530365,1181.0465651277211,43.0,,,,,,,,,,,0.2
pred_HL만도_204320.csv,HL만도,204320,h2,53400.0,52840.0,57420.0,51170.0,2.74,150.0,0,BUY,0.496,2,2025-12-26T15:20:00+09:00,3724.998,2234.999,2712.611,2234.999,1.45,0.9,1.1,0.5,0.95,0.4,0.5,0.6,0.5,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX,MAPE>MAX,0,,,,,,,,,,,3.9596358832732257,57.14285714285714,-477.34614929982683,1883.985799621968,42.0,0.2
