source_file,종목명,종목코드,권장호라이즌,last_close,매수가(entry),익절가(tp),손절가(sl),RR,Score_1w,ord_qty,side,confidence,holding_days,valid_until,ATR,buf_close,buf_high,buf_low,요약점수(h1),요약점수(h2),요약점수(h3),ex_base_h1,ex_pen_h1,ex_base_h2,ex_pen_h2,ex_base_h3,ex_pen_h3,flags_h1,flags_h2,flags_h3,warn_bad_RR,h1_MAPE(%),h1_DirAcc(%),h1_Bias,h1_MAE,h1_count,h3_MAPE(%),h3_DirAcc(%),h3_Bias,h3_MAE,h3_count,h2_MAPE(%),h2_DirAcc(%),h2_Bias,h2_MAE,h2_count,risk_cap_used
pred_HL만도_204320.csv,HL만도,204320,h2,41400.0,41150.0,43150.0,40430.0,2.78,190.0,4,BUY,0.566,2,2025-11-28T15:20:00+09:00,1629.168,977.501,991.333,977.501,0.4,0.35,1.95,0.15,0.25,0.35,0.0,1.0,0.95,DA<MIN,,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,2.495762496889122,59.523809523809526,-265.2973408500357,922.5106377686773,42.0,0.1
pred_에스엘_005850.csv,에스엘,005850,h1,37150.0,36990.0,38290.0,36520.0,2.77,185.0,5,BUY,0.513,1,2025-11-27T15:20:00+09:00,1058.333,636.174,970.309,635.0,0.5,1.95,0.75,0.25,0.25,1.0,0.95,0.25,0.5,DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX,0,1.7892704728365356,50.0,-310.25100849395574,636.1735874830287,43.0,,,,,,,,,,,0.1
pred_아모레퍼시픽홀딩스_002790.csv,아모레퍼시픽홀딩스,002790,h1,28700.0,28480.0,30230.0,27860.0,2.82,180.0,7,BUY,0.519,1,2025-11-27T15:20:00+09:00,1416.666,850.0,1132.465,850.0,0.4,1.95,0.85,0.15,0.25,1.0,0.95,0.35,0.5,DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX,0,2.151857584519851,47.61904761904761,239.48138425516484,582.7527220859087,43.0,,,,,,,,,,,0.1
pred_CJ_001040.csv,CJ,001040,h2,174499.99,172940.0,185720.0,168270.0,2.74,170.0,1,BUY,0.579,2,2025-11-28T15:20:00+09:00,10391.67,6235.002,6235.002,7940.995,1.6,0.65,1.4,0.65,0.95,0.15,0.5,0.7,0.7,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX,MAPE>MAX;|Bias|>r*MAE,0,,,,,,,,,,,2.7046570429888086,61.904761904761905,-791.4452894812553,4765.653350949286,42.0,0.1
pred_KB금융_105560.csv,KB금융,105560,h1,121700.0,120940.0,127110.0,118700.0,2.75,150.0,1,BUY,0.632,1,2025-11-27T15:20:00+09:00,5016.666,3009.999,3009.999,3009.999,0.0,0.9,1.8,0.0,0.0,0.65,0.25,0.85,0.95,,DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,1.4437568978613924,57.14285714285714,-254.84729256740565,1742.0486838318582,43.0,,,,,,,,,,,0.1
pred_농심_004370.csv,농심,004370,h2,441499.97,438920.0,460030.0,431200.0,2.73,150.0,1,BUY,0.595,2,2025-11-28T15:20:00+09:00,17166.664,10299.998,10373.282,10299.998,1.4,0.4,1.6,0.7,0.7,0.15,0.25,0.65,0.95,MAPE>MAX;|Bias|>r*MAE,DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,2.109887953537361,54.761904761904766,-1031.7277525152492,9430.136047658456,42.0,0.1
pred_효성중공업_298040.csv,효성중공업,298040,h2,1939999.97,1917440.0,2102390.0,1849790.0,2.73,150.0,0,BUY,0.417,2,2025-11-28T15:20:00+09:00,123500.016,90219.453,114171.833,74507.614,1.35,1.15,1.65,0.4,0.95,0.4,0.75,0.7,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,4.808656200148066,45.23809523809524,-29451.822988205557,90219.45271764288,42.0,0.1
pred_삼성전기_009150.csv,삼성전기,009150,h1,241500.0,239710.0,254360.0,234360.0,2.74,145.0,1,BUY,0.542,1,2025-11-27T15:20:00+09:00,11916.661,7149.997,7149.997,7739.754,0.5,1.95,1.25,0.0,0.5,1.0,0.95,0.5,0.75,MAPE>MAX,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,0,2.591268735921616,57.14285714285714,1918.724895355314,5599.810644360475,43.0,,,,,,,,,,,0.1
pred_삼양식품_003230.csv,삼양식품,003230,h3,1311000.02,1298360.0,1331620.0,1291120.0,4.59,140.0,1,BUY,0.513,3,2025-12-01T15:20:00+09:00,64999.948,50530.427,55163.616,51793.197,1.35,1.35,1.0,0.4,0.95,0.6,0.75,0.5,0.5,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,MAPE>MAX,0,,,,,,3.646444907904451,58.536585365853654,-12625.580101081523,50530.42686840673,41.0,,,,,,0.1
pred_동서_026960.csv,동서,026960,h2,27350.0,27220.0,28210.0,26870.0,2.83,140.0,7,BUY,0.664,2,2025-11-28T15:20:00+09:00,804.166,482.5,1134.844,482.5,1.6,0.0,1.55,0.65,0.95,0.0,0.0,0.85,0.7,MAPE>MAX;DA<MIN;|Bias|>r*MAE,,MAPE>MAX;|Bias|>r*MAE,0,,,,,,,,,,,1.3235638641129912,66.66666666666666,29.80633676052076,360.46068157468574,42.0,0.1
