source_file,종목명,종목코드,last_close,매수가(entry),익절가(tp),손절가(sl),ord_qty,FinalScore,RR,side,confidence,holding_days,valid_until,권장호라이즌,h1_MAPE(%),h1_DirAcc(%),h1_Bias,h1_MAE,h1_count,buf_close,buf_high,buf_low,ATR,risk_cap_used,warn_bad_RR,h3_MAPE(%),h3_DirAcc(%),h3_Bias,h3_MAE,h3_count,h2_MAPE(%),h2_DirAcc(%),h2_Bias,h2_MAE,h2_count
pred_대한항공_003490.csv,대한항공,003490,23000.0,22920.0,23510.0,22720.0,8,133,2.95,BUY,0.585,3,2025-12-29T15:20:00+09:00,h1,1.1597180688580757,40.476190476190474,-72.75707888048808,256.3744158245799,43.0,287.5,805.025,428.539,479.167,0.2,0,,,,,,,,,,
pred_포스코DX_022100.csv,포스코DX,022100,29450.0,29050.0,28280.0,27890.0,0,121,-0.66,BUY,0.407,5,2025-12-30T15:20:00+09:00,h3,,,,,,1566.184,1886.454,1298.109,1966.667,0.2,1,5.899260579419672,53.65853658536586,482.9788815684431,1566.1837618525442,41.0,,,,,
pred_풍산_103140.csv,풍산,103140,105100.0,104280.0,110930.0,101860.0,0,161,2.75,BUY,0.385,4,2025-12-29T15:20:00+09:00,h2,,,,,,3240.598,3353.181,4118.457,3225.0,0.2,0,,,,,,3.1636861333769812,54.761904761904766,2266.3528054952644,3240.5975260904856,42.0
pred_한화생명_088350.csv,한화생명,088350,3395.0,3370.0,3500.0,3340.0,59,135,4.33,BUY,0.437,3,2025-12-29T15:20:00+09:00,h1,1.9392209937067317,57.14285714285714,-48.063709853693446,60.97565970448557,43.0,60.976,146.284,56.35,93.917,0.2,0,,,,,,,,,,
