source_file,종목명,종목코드,권장호라이즌,last_close,매수가(entry),익절가(tp),손절가(sl),RR,Score_1w,ord_qty,side,confidence,holding_days,valid_until,ATR,buf_close,buf_high,buf_low,요약점수(h1),요약점수(h2),요약점수(h3),ex_base_h1,ex_pen_h1,ex_base_h2,ex_pen_h2,ex_base_h3,ex_pen_h3,flags_h1,flags_h2,flags_h3,warn_bad_RR,h1_MAPE(%),h1_DirAcc(%),h1_Bias,h1_MAE,h1_count,h3_MAPE(%),h3_DirAcc(%),h3_Bias,h3_MAE,h3_count,h2_MAPE(%),h2_DirAcc(%),h2_Bias,h2_MAE,h2_count,risk_cap_used,Score_1w_num,RR_num,conf_num
pred_현대모비스_012330.csv,현대모비스,012330,h1,362000.01,359860.0,377390.0,353460.0,2.74,185.0,1,BUY,0.587,1,2025-12-12T15:20:00+09:00,14250.0,8550.0,8550.0,8942.805,0.4,1.55,1.7,0.15,0.25,0.6,0.95,0.75,0.95,DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,1.71970940085211,47.61904761904761,-1184.7986759141406,5384.810856608455,43.0,,,,,,,,,,,0.1,185.0,2.74,0.587
pred_세아베스틸지주_001430.csv,세아베스틸지주,001430,h2,34950.0,34690.0,36760.0,33950.0,2.8,180.0,5,BUY,0.521,2,2025-12-15T15:20:00+09:00,1512.5,1009.835,1076.34,907.5,1.0,0.75,1.95,0.25,0.75,0.25,0.5,1.0,0.95,MAPE>MAX;DA<MIN,MAPE>MAX,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,3.636711055613641,59.523809523809526,227.5561468232243,1009.8349614512348,42.0,0.1,180.0,2.8,0.521
pred_현대차_005380.csv,현대차,005380,h1,302500.0,300800.0,314690.0,295730.0,2.74,180.0,1,BUY,0.546,1,2025-12-12T15:20:00+09:00,11291.657,6774.994,7205.455,8920.574,0.25,1.8,1.6,0.0,0.25,0.85,0.95,0.65,0.95,DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,2.2570024212516584,47.61904761904761,-1835.2000470771336,6115.099879891371,43.0,,,,,,,,,,,0.1,180.0,2.74,0.546
pred_HL만도_204320.csv,HL만도,204320,h1,55000.0,54410.0,59230.0,52650.0,2.74,175.0,3,BUY,0.559,1,2025-12-12T15:20:00+09:00,3924.999,2355.0,2413.001,2355.0,0.5,1.0,1.95,0.0,0.5,0.5,0.5,1.0,0.95,MAPE>MAX,MAPE>MAX,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,3.013919596335372,66.66666666666666,354.35363490914153,1258.460752007573,43.0,,,,,,,,,,,0.1,175.0,2.74,0.559
pred_현대건설_000720.csv,현대건설,000720,h2,71800.0,71040.0,77220.0,68790.0,2.75,165.0,2,BUY,0.509,2,2025-12-15T15:20:00+09:00,4050.0,3013.983,3148.684,2726.907,1.45,0.75,1.25,0.5,0.95,0.25,0.5,0.75,0.5,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX,MAPE>MAX,0,,,,,,,,,,,4.648324844661427,66.66666666666666,212.34009407815444,3013.982972928457,42.0,0.1,165.0,2.75,0.509
pred_현대위아_011210.csv,현대위아,011210,h2,65800.0,65340.0,69090.0,63970.0,2.74,165.0,3,BUY,0.542,2,2025-12-15T15:20:00+09:00,2983.336,1833.057,3843.261,2527.023,1.35,1.0,1.8,0.4,0.95,0.25,0.75,0.85,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,3.161148069907655,52.38095238095239,-35.211748168581835,1833.056996833709,42.0,0.1,165.0,2.74,0.542
pred_LG전자_066570.csv,LG전자,066570,h1,94500.01,93980.0,98230.0,92430.0,2.74,165.0,2,BUY,0.499,1,2025-12-12T15:20:00+09:00,3149.996,2072.235,2466.994,1889.998,0.55,1.8,0.85,0.3,0.25,0.85,0.95,0.35,0.5,DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX,0,2.311081636336678,52.38095238095239,984.4954419967758,2072.235104788184,43.0,,,,,,,,,,,0.1,165.0,2.74,0.499
pred_에스엘_005850.csv,에스엘,005850,h1,43950.0,43600.0,46430.0,42570.0,2.75,160.0,4,BUY,0.46,1,2025-12-12T15:20:00+09:00,2304.167,1382.5,1738.143,1391.727,0.75,1.15,1.5,0.3,0.45,0.45,0.7,0.75,0.75,DA<MIN;|Bias|>r*MAE,MAPE>MAX;|Bias|>r*MAE,MAPE>MAX;DA<MIN,0,2.1790203891767628,45.23809523809524,-455.4517872804821,836.6467990847523,43.0,,,,,,,,,,,0.1,160.0,2.75,0.46
pred_HD현대인프라코어_042670.csv,HD현대인프라코어,042670,h2,15700.0,15580.0,16530.0,15240.0,2.79,155.0,12,BUY,0.551,2,2025-12-15T15:20:00+09:00,529.166,465.975,568.757,750.379,1.8,0.75,1.4,0.85,0.95,0.0,0.75,0.65,0.75,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN,0,,,,,,,,,,,3.107699106198628,54.761904761904766,1.837062319870884,465.9753577586992,42.0,0.1,155.0,2.79,0.551
pred_대우건설_047040.csv,대우건설,047040,h2,3625.0,3600.0,3770.0,3550.0,3.4,150.0,55,BUY,0.528,2,2025-12-15T15:20:00+09:00,103.333,81.349,160.474,153.212,1.6,0.25,1.8,0.65,0.95,0.0,0.25,0.85,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,2.230811763096871,52.38095238095239,-33.062828467005794,81.34897207929978,42.0,0.1,150.0,3.4,0.528
