Name,Code,Score_1w,rsi30,momentum_pos,macd_cross,ema5_over_ema20,ema20_over_ema60,rs_plus,vol_120,vol_150,frg_own_1m_up,frg_3_pos,frg_5_pos,ins_3_pos,ins_5_pos
HD현대인프라코어,042670,215.0,0,50,0,0,10,50,5,30,0,25,25,15,5
한일시멘트,300720,190.0,0,50,0,0,10,50,0,40,0,0,0,25,15
TKG휴켐스,069260,190.0,0,50,0,0,0,50,5,40,0,0,0,25,20
동서,026960,175.0,0,40,10,5,10,30,0,30,0,0,0,25,25
오리온홀딩스,001800,170.0,0,50,0,0,10,50,10,20,0,0,0,20,10
LG씨엔에스,064400,165.0,0,50,0,0,0,50,15,20,0,0,0,15,15
한진칼,180640,160.0,0,50,0,0,10,50,0,30,0,15,5,0,0
대웅제약,069620,160.0,0,50,10,0,0,50,0,20,0,20,10,0,0
씨에스윈드,112610,160.0,0,40,0,0,10,50,5,30,0,10,10,5,0
세아베스틸지주,001430,160.0,0,50,0,0,0,50,0,50,0,0,0,5,5
신세계,004170,155.0,0,40,0,0,0,50,15,10,0,0,0,20,20
DL이앤씨,375500,150.0,0,40,0,0,0,50,5,30,0,0,0,15,10
제일기획,030000,150.0,0,30,0,0,0,50,10,20,0,25,15,0,0
삼성카드,029780,150.0,10,40,10,0,0,50,0,40,0,0,0,0,0
두산밥캣,241560,140.0,0,40,0,0,0,50,10,10,0,0,0,20,10
이마트,139480,140.0,10,20,10,0,0,50,5,20,0,15,5,5,0
KT&G,033780,140.0,20,20,10,5,0,40,5,0,0,25,15,0,0
한국항공우주,047810,140.0,0,40,10,0,0,40,5,20,0,15,5,5,0
고려아연,010130,140.0,0,40,0,0,0,50,0,20,0,0,0,15,15
대우건설,047040,140.0,0,50,0,0,0,50,5,30,0,0,0,5,0
효성티앤씨,298020,140.0,0,40,10,0,0,40,5,30,0,5,0,10,0
포스코DX,022100,135.0,0,40,0,0,0,50,5,30,0,5,0,5,0
영원무역홀딩스,009970,135.0,0,50,0,0,0,50,5,20,0,10,0,0,0
롯데칠성,005300,135.0,0,40,0,0,0,50,0,40,0,0,0,5,0
한국카본,017960,135.0,0,50,0,5,0,20,0,10,0,0,0,25,25
한전기술,052690,135.0,0,40,0,0,0,50,5,30,0,5,0,5,0
녹십자,006280,135.0,0,40,10,0,0,40,0,40,0,0,0,5,0
이수스페셜티케미컬,457190,130.0,0,40,0,0,0,50,5,30,0,5,0,0,0
GS건설,006360,130.0,0,50,0,0,0,50,5,20,0,0,0,5,0
미원에스씨,268280,125.0,0,40,0,0,0,40,5,20,0,10,10,0,0
강원랜드,035250,125.0,10,30,10,0,0,50,10,10,0,5,0,0,0
녹십자홀딩스,005250,125.0,0,40,10,0,0,30,0,40,0,5,0,0,0
포스코퓨처엠,003670,125.0,0,40,0,0,0,50,20,0,0,0,0,10,5
현대글로비스,086280,125.0,0,40,0,0,0,50,15,0,0,15,5,0,0
HMM,011200,125.0,0,40,0,0,0,50,0,0,0,20,15,0,0
한화엔진,082740,120.0,0,40,0,0,0,50,10,10,0,0,0,10,0
LG이노텍,011070,120.0,0,40,0,0,0,50,0,0,0,0,0,15,15
두산로보틱스,454910,120.0,0,40,0,0,0,50,0,0,0,0,0,15,15
한전KPS,051600,120.0,10,10,0,0,0,40,10,10,0,0,0,20,20
롯데쇼핑,023530,120.0,0,30,10,0,0,30,0,30,0,10,0,10,0
현대모비스,012330,115.0,0,40,0,0,0,50,20,0,0,0,0,5,0
영풍,000670,115.0,10,30,0,0,0,40,0,20,0,10,0,5,0
HD한국조선해양,009540,115.0,0,30,0,0,0,40,0,0,0,25,20,0,0
한국금융지주,071050,110.0,10,20,10,10,0,10,5,20,0,15,10,0,0
파라다이스,034230,110.0,0,30,0,0,0,50,0,0,0,0,0,20,10
SK바이오팜,326030,110.0,0,20,0,0,0,40,0,0,0,25,25,0,0
현대건설,000720,110.0,0,30,0,0,0,50,10,20,0,0,0,0,0
오뚜기,007310,110.0,0,30,0,5,0,30,0,0,0,0,0,25,20
현대위아,011210,105.0,0,30,0,0,0,50,0,0,0,15,5,5,0
GS리테일,007070,105.0,10,0,0,0,0,40,0,0,0,25,25,5,0
GS,078930,105.0,40,0,0,0,0,0,5,20,0,25,15,0,0
KT,030200,105.0,0,20,0,0,0,50,0,30,0,0,0,5,0
대상,001680,105.0,0,30,0,5,0,20,5,40,0,0,0,5,0
현대차,005380,100.0,10,20,0,0,0,50,10,10,0,0,0,0,0
금호석유화학,011780,100.0,0,40,0,0,0,40,5,0,0,0,0,10,5
미스토홀딩스,081660,100.0,40,0,0,0,0,50,0,0,0,10,0,0,0
SK케미칼,285130,100.0,30,20,0,5,0,0,0,20,0,10,10,5,0
대한유화,006650,100.0,0,50,10,0,0,20,0,0,0,10,5,5,0
금호타이어,073240,95.0,30,0,0,0,0,50,0,0,0,10,0,5,0
팬오션,028670,95.0,40,0,0,0,0,50,0,0,0,5,0,0,0
하이트진로,000080,95.0,0,20,10,5,0,20,5,30,0,5,0,0,0
삼성전기,009150,95.0,0,40,0,0,0,50,0,0,0,0,0,5,0
하이브,352820,95.0,0,40,10,5,0,20,15,0,0,0,0,5,0
HL만도,204320,95.0,10,10,0,0,0,50,15,10,0,0,0,0,0
한미사이언스,008930,95.0,10,40,10,0,0,0,5,0,0,20,10,0,0
한국앤컴퍼니,000240,95.0,40,0,0,0,0,10,0,30,0,10,5,0,0
DN오토모티브,007340,95.0,0,30,0,0,0,50,5,0,0,0,0,10,0
삼성물산,028260,90.0,0,30,0,0,0,50,0,0,0,10,0,0,0
한화시스템,272210,90.0,0,50,0,5,0,0,0,30,0,0,0,5,0
에이피알,278470,90.0,0,30,10,0,0,50,0,0,0,0,0,0,0
LG,003550,90.0,0,40,0,0,0,10,5,10,0,15,5,5,0
삼성전자,005930,90.0,10,30,0,0,0,50,0,0,0,0,0,0,0
엔씨소프트,036570,90.0,40,0,0,0,0,0,0,0,0,25,25,0,0
더블유게임즈,192080,90.0,0,20,10,0,0,50,10,0,0,0,0,0,0
아세아,002030,90.0,40,0,0,0,0,10,0,40,0,0,0,0,0
기아,000270,90.0,0,30,0,0,0,50,0,0,0,10,0,0,0
에스엘,005850,90.0,10,10,0,0,0,50,0,0,0,15,5,0,0
BNK금융지주,138930,90.0,20,0,0,0,0,30,10,10,0,10,0,5,5
영원무역,111770,90.0,10,10,0,0,0,50,0,0,0,10,10,0,0
코웨이,021240,90.0,0,20,10,5,0,20,15,10,0,0,0,10,0
LS ELECTRIC,010120,85.0,10,20,0,0,0,50,0,0,0,5,0,0,0
현대오토에버,307950,85.0,0,30,0,0,0,50,5,0,0,0,0,0,0
LG전자,066570,85.0,10,10,0,0,0,50,0,0,0,10,0,5,0
현대해상,001450,85.0,30,20,0,0,0,30,0,0,0,0,0,5,0
롯데웰푸드,280360,85.0,0,20,0,5,0,10,10,20,0,15,5,0,0
코오롱인더,120110,85.0,0,30,0,0,0,40,0,0,0,0,0,10,5
한국타이어앤테크놀로지,161390,85.0,0,0,0,0,0,40,5,0,0,20,20,0,0
삼성에스디에스,018260,85.0,0,10,0,0,0,40,0,0,0,20,10,5,0
미원상사,002840,85.0,0,30,0,0,0,50,5,0,0,0,0,0,0
BGF리테일,282330,80.0,20,20,10,0,0,30,0,0,0,0,0,0,0
에코프로머티,450080,80.0,0,30,0,0,0,30,0,20,0,0,0,0,0
한올바이오파마,009420,80.0,30,0,0,0,0,20,0,30,0,0,0,0,0
한국가스공사,036460,80.0,0,0,0,0,0,20,10,20,0,0,0,20,10
동원시스템즈,014820,80.0,10,30,0,5,0,20,15,0,0,0,0,0,0
GKL,114090,80.0,20,10,0,0,0,50,0,0,0,0,0,0,0
산일전기,062040,80.0,10,30,0,0,0,30,10,0,0,0,0,0,0
우리금융지주,316140,80.0,40,0,0,0,0,40,0,0,0,0,0,0,0
현대백화점,069960,80.0,10,40,0,5,0,20,0,0,0,0,0,5,0
한미약품,128940,75.0,0,40,0,5,0,0,10,0,0,0,0,15,5
OCI홀딩스,010060,75.0,0,30,10,0,0,0,5,20,0,0,0,10,0
에스원,012750,75.0,0,10,0,0,0,30,0,30,0,5,0,0,0
F&F,383220,75.0,10,30,0,0,0,10,5,0,0,10,0,10,0
종근당,185750,75.0,0,30,0,0,0,40,0,0,0,5,0,0,0
DL,000210,75.0,0,30,10,5,10,0,10,10,0,0,0,0,0
현대제철,004020,75.0,0,40,0,5,0,10,15,0,0,0,0,5,0
JB금융지주,175330,75.0,10,10,10,0,0,40,0,0,0,5,0,0,0
POSCO홀딩스,005490,75.0,0,30,10,0,0,10,15,0,0,5,0,5,0
삼성화재,000810,75.0,0,10,0,0,0,30,5,30,0,0,0,0,0
DB손해보험,005830,75.0,30,20,10,0,0,10,0,0,0,0,0,5,0
이수페타시스,007660,75.0,0,20,0,0,0,30,10,10,0,5,0,0,0
현대엘리베이터,017800,75.0,0,20,0,0,0,50,0,0,0,0,0,5,0
NH투자증권,005940,75.0,10,10,0,5,0,10,0,40,0,0,0,0,0
삼성생명,032830,70.0,10,0,0,0,0,10,10,0,0,20,20,0,0
삼성바이오로직스,207940,70.0,0,40,10,5,0,0,0,0,0,10,0,5,0
CJ,001040,70.0,30,0,0,0,0,40,0,0,0,0,0,0,0
한화생명,088350,70.0,10,30,0,5,0,20,5,0,0,0,0,0,0
iM금융지주,139130,70.0,20,0,0,0,0,20,10,10,0,10,0,0,0
코스모화학,005420,70.0,0,30,0,5,0,0,15,20,0,0,0,0,0
호텔신라,008770,70.0,40,0,10,0,0,20,0,0,0,0,0,0,0
HD현대일렉트릭,267260,70.0,0,30,0,0,0,30,0,0,0,10,0,0,0
