Name,Code,Score_1w,rsi30,momentum_pos,macd_cross,ema5_over_ema20,ema20_over_ema60,rs_plus,vol_120,vol_150,frg_own_1m_up,frg_3_pos,frg_5_pos,ins_3_pos,ins_5_pos
LG이노텍,011070,190.0,0,50,0,0,0,50,5,20,0,15,10,25,15
현대모비스,012330,185.0,0,50,0,0,0,50,5,40,0,5,5,15,15
세아베스틸지주,001430,180.0,0,50,0,0,0,50,0,30,0,0,0,25,25
현대차,005380,180.0,0,50,10,0,0,50,0,50,0,0,0,15,5
HL만도,204320,175.0,0,50,0,0,0,50,5,40,0,0,0,15,15
두산로보틱스,454910,170.0,0,50,10,0,0,50,0,40,0,0,0,15,5
현대건설,000720,165.0,0,50,0,0,0,50,5,40,0,0,0,15,5
현대글로비스,086280,165.0,0,50,0,0,10,50,5,30,0,0,0,15,5
LG전자,066570,165.0,0,50,10,0,0,50,5,30,0,10,5,5,0
DN오토모티브,007340,165.0,0,50,0,0,10,50,5,30,0,10,5,5,0
현대위아,011210,165.0,0,50,0,0,0,50,5,30,0,0,0,15,15
에스엘,005850,160.0,0,50,0,0,0,50,0,40,0,0,0,15,5
삼성물산,028260,160.0,0,50,0,0,0,50,5,20,0,5,0,15,15
HD현대인프라코어,042670,155.0,0,50,0,0,10,50,0,0,0,25,20,0,0
GS건설,006360,155.0,0,40,0,0,10,50,5,20,0,0,0,15,15
금호석유화학,011780,150.0,0,50,0,0,0,50,0,0,0,0,0,25,25
신세계,004170,150.0,0,40,0,0,0,50,10,0,0,0,0,25,25
대우건설,047040,150.0,0,50,0,0,0,50,0,30,0,0,0,15,5
기아,000270,145.0,0,50,0,0,0,50,5,30,0,5,0,5,0
포스코DX,022100,140.0,0,50,0,0,0,50,0,30,0,0,0,10,0
코오롱인더,120110,140.0,0,50,0,0,0,50,0,0,0,0,0,25,15
현대엘리베이터,017800,140.0,0,50,0,0,0,50,0,0,0,0,0,20,20
KT,030200,140.0,0,40,0,0,10,50,0,40,0,0,0,0,0
SK바이오팜,326030,135.0,20,20,0,0,0,50,0,0,0,25,20,0,0
한전KPS,051600,135.0,0,50,0,0,0,50,0,0,0,5,0,20,10
GS리테일,007070,135.0,0,40,0,0,0,50,0,0,0,25,20,0,0
팬오션,028670,130.0,0,30,0,0,0,50,0,30,0,0,0,10,10
미원상사,002840,130.0,0,50,0,0,0,50,10,0,0,0,0,10,10
씨에스윈드,112610,130.0,0,50,0,5,0,20,10,0,0,25,15,5,0
한국타이어앤테크놀로지,161390,125.0,0,30,0,0,0,50,0,0,0,25,20,0,0
LS ELECTRIC,010120,125.0,0,50,10,0,0,40,0,0,0,5,0,15,5
SK스퀘어,402340,125.0,0,50,20,0,0,50,0,0,0,0,0,5,0
한일시멘트,300720,125.0,0,50,0,5,0,50,15,0,0,0,0,5,0
롯데칠성,005300,125.0,0,40,0,0,0,50,0,30,0,0,0,5,0
TKG휴켐스,069260,125.0,0,50,0,0,0,50,5,0,0,5,5,10,0
이마트,139480,125.0,0,40,0,0,0,50,5,0,0,0,0,15,15
한국항공우주,047810,125.0,10,30,10,0,0,50,0,0,0,5,0,10,10
HD한국조선해양,009540,125.0,0,40,10,5,0,50,0,0,0,10,0,10,0
한전기술,052690,125.0,0,50,0,5,10,30,0,30,0,0,0,0,0
미원에스씨,268280,125.0,0,50,0,5,0,10,0,0,0,25,20,10,5
BNK금융지주,138930,125.0,0,30,0,0,0,30,5,0,0,10,0,25,25
영원무역,111770,120.0,0,20,0,0,0,50,0,0,0,25,25,0,0
대한유화,006650,120.0,0,30,0,0,0,40,0,0,0,25,25,0,0
에코프로머티,450080,115.0,0,50,0,5,0,30,5,20,0,5,0,0,0
영원무역홀딩스,009970,115.0,0,50,0,0,0,50,0,0,0,5,0,10,0
iM금융지주,139130,115.0,0,30,0,0,0,40,5,0,0,0,0,20,20
고려아연,010130,115.0,0,40,0,0,0,50,0,0,0,5,0,15,5
대웅제약,069620,115.0,0,40,10,0,0,50,0,0,0,10,5,0,0
DL이앤씨,375500,115.0,0,40,0,5,0,30,10,20,0,0,0,10,0
이수스페셜티케미컬,457190,115.0,0,40,0,5,0,30,0,30,0,5,0,5,0
SK,034730,110.0,0,30,10,0,0,30,0,0,0,25,15,0,0
CJ대한통운,000120,110.0,0,40,0,0,0,40,10,0,0,0,0,10,10
세방전지,004490,110.0,0,30,0,0,10,50,0,0,0,10,10,0,0
삼성전기,009150,110.0,0,50,0,0,0,50,0,0,0,5,0,5,0
HD현대,267250,110.0,0,50,0,5,0,0,5,0,0,25,25,0,0
삼성전자,005930,110.0,0,50,0,0,0,50,0,0,0,0,0,10,0
CJ,001040,110.0,0,40,0,0,0,50,0,0,0,0,0,10,10
제일기획,030000,110.0,0,50,0,0,0,50,0,0,0,5,0,5,0
한온시스템,018880,110.0,0,30,0,0,0,0,20,10,0,25,25,0,0
롯데정밀화학,004000,110.0,0,50,0,0,0,50,0,0,0,5,5,0,0
하나투어,039130,110.0,0,40,0,0,0,50,0,20,0,0,0,0,0
TCC스틸,002710,105.0,0,30,0,5,0,10,0,10,0,25,25,0,0
풍산,103140,105.0,0,50,0,5,0,20,0,0,0,0,0,20,10
한진칼,180640,105.0,0,50,0,0,0,50,0,0,0,5,0,0,0
영풍,000670,100.0,0,30,0,0,0,50,0,0,0,10,0,10,0
오리온홀딩스,001800,100.0,0,50,0,0,0,40,0,0,0,0,0,10,0
금호타이어,073240,100.0,0,40,0,0,0,50,5,0,0,5,0,0,0
우리금융지주,316140,100.0,0,30,0,0,0,50,0,0,0,0,0,10,10
대한항공,003490,100.0,0,40,0,0,0,20,0,0,0,20,20,0,0
기업은행,024110,100.0,0,30,0,0,0,50,0,0,0,0,0,15,5
메리츠금융지주,138040,100.0,0,40,10,0,0,0,0,0,0,0,0,25,25
동서,026960,100.0,0,40,0,0,0,10,0,0,0,0,0,25,25
두산밥캣,241560,100.0,0,40,0,0,0,30,10,0,0,15,5,0,0
미스토홀딩스,081660,100.0,0,40,0,0,0,50,0,0,0,0,0,10,0
POSCO홀딩스,005490,95.0,10,40,0,5,0,40,0,0,0,0,0,0,0
농심,004370,95.0,40,20,0,0,0,30,0,0,0,5,0,0,0
OCI,456040,95.0,0,50,0,0,0,40,0,0,0,5,0,0,0
강원랜드,035250,95.0,0,10,0,0,0,50,0,0,0,20,15,0,0
삼성에스디에스,018260,95.0,0,50,0,0,0,30,5,0,0,5,0,5,0
셀트리온,068270,95.0,10,30,0,0,0,50,0,0,0,5,0,0,0
현대해상,001450,90.0,20,20,0,0,0,30,0,0,0,0,0,10,10
에스원,012750,90.0,0,40,0,0,0,30,0,0,0,10,0,5,5
포스코퓨처엠,003670,90.0,0,30,10,0,0,30,10,0,0,0,0,10,0
HMM,011200,90.0,0,40,0,0,0,30,5,0,0,10,0,5,0
HD현대마린솔루션,443060,90.0,0,40,10,0,0,0,0,0,0,20,20,0,0
삼성중공업,010140,90.0,0,40,10,5,0,20,10,0,0,0,0,5,0
JB금융지주,175330,90.0,0,30,0,0,0,50,5,0,0,0,0,5,0
효성티앤씨,298020,90.0,0,30,0,0,10,40,0,0,0,0,0,5,5
삼성증권,016360,90.0,0,30,0,0,0,40,0,0,0,0,0,10,10
HD현대중공업,329180,85.0,0,30,10,5,0,30,0,0,0,5,0,5,0
에이피알,278470,85.0,0,30,0,0,0,50,0,0,0,0,0,5,0
HDC,012630,85.0,0,50,0,0,0,30,0,0,0,0,0,5,0
호텔신라,008770,85.0,0,20,0,0,0,50,0,0,0,0,0,10,5
KG모빌리티,003620,85.0,0,30,0,0,10,30,5,10,0,0,0,0,0
엘앤에프,066970,85.0,0,30,0,0,0,20,15,10,0,0,0,10,0
현대로템,064350,85.0,0,40,10,0,0,0,15,0,0,0,0,15,5
한화,000880,85.0,0,50,10,0,0,0,0,0,0,15,5,5,0
SK케미칼,285130,80.0,10,20,0,0,0,10,0,0,0,25,15,0,0
한국카본,017960,80.0,0,40,0,0,0,0,0,0,0,0,0,25,15
롯데쇼핑,023530,80.0,0,20,0,0,0,40,0,0,0,5,0,10,5
엔씨소프트,036570,80.0,0,20,10,0,0,0,0,0,0,25,25,0,0
SK아이이테크놀로지,361610,80.0,0,50,0,5,10,10,0,0,0,0,0,5,0
포스코인터내셔널,047050,80.0,0,30,0,0,0,40,0,0,0,0,0,5,5
대웅,003090,80.0,0,40,0,0,0,40,0,0,0,0,0,0,0
NH투자증권,005940,80.0,0,30,10,0,0,20,0,0,0,0,0,10,10
LG,003550,80.0,0,50,10,5,0,10,0,0,0,0,0,5,0
삼성생명,032830,80.0,0,40,0,0,0,20,0,0,0,15,5,0,0
S-Oil,010950,80.0,0,40,0,10,0,20,0,0,0,0,0,10,0
SK텔레콤,017670,80.0,0,40,0,0,0,10,0,0,0,0,0,20,10
키움증권,039490,75.0,0,40,10,5,0,0,0,0,0,15,5,0,0
BGF리테일,282330,75.0,0,30,0,0,0,30,0,0,0,0,0,10,5
GS,078930,75.0,0,30,0,0,0,30,0,0,0,10,5,0,0
아모레퍼시픽홀딩스,002790,75.0,40,0,0,0,0,30,0,0,0,0,0,5,0
KCC,002380,75.0,0,40,0,0,0,30,0,0,0,0,0,5,0
크래프톤,259960,75.0,30,0,0,0,0,0,5,0,0,25,15,0,0
한화에어로스페이스,012450,75.0,0,40,10,5,0,10,0,0,0,5,0,5,0
한올바이오파마,009420,70.0,0,20,0,0,0,50,0,0,0,0,0,0,0
코스모화학,005420,70.0,0,30,10,5,0,0,5,20,0,0,0,0,0
삼성카드,029780,70.0,20,0,0,0,0,50,0,0,0,0,0,0,0
LS,006260,70.0,0,50,10,0,0,0,0,0,0,0,0,10,0
한국앤컴퍼니,000240,70.0,20,0,0,0,0,30,0,0,0,15,5,0,0
한솔케미칼,014680,70.0,10,0,0,0,0,50,0,0,0,10,0,0,0
율촌화학,008730,70.0,0,40,0,0,0,0,0,30,0,0,0,0,0
KB금융,105560,70.0,0,30,0,0,0,20,0,0,0,0,0,10,10
LG에너지솔루션,373220,70.0,0,40,10,5,0,0,10,0,0,0,0,5,0
HD현대일렉트릭,267260,70.0,0,40,10,5,0,10,0,0,0,0,0,5,0
더블유게임즈,192080,70.0,0,20,0,0,0,50,0,0,0,0,0,0,0
넷마블,251270,65.0,40,0,0,0,0,0,5,20,0,0,0,0,0
한화오션,042660,65.0,10,40,10,0,0,0,0,0,0,0,0,5,0
한국전력,015760,65.0,0,10,0,0,0,50,0,0,0,5,0,0,0
두산에너빌리티,034020,60.0,0,40,10,5,0,0,0,0,0,0,0,5,0
코스맥스,192820,60.0,0,20,0,0,0,20,0,0,0,10,10,0,0
한미약품,128940,60.0,30,0,0,0,0,0,0,0,0,15,15,0,0
종근당,185750,60.0,0,10,0,0,0,50,0,0,0,0,0,0,0
LIG넥스원,079550,60.0,10,30,10,0,0,0,0,0,0,0,0,10,0
삼양식품,003230,60.0,40,0,0,0,0,20,0,0,0,0,0,0,0
지역난방공사,071320,55.0,0,40,0,0,0,10,0,0,0,5,0,0,0
HS효성첨단소재,298050,55.0,0,30,0,5,0,0,0,0,0,0,0,10,10
KT&G,033780,55.0,10,0,0,0,0,40,0,0,0,5,0,0,0
한화시스템,272210,55.0,0,40,10,0,0,0,0,0,0,0,0,5,0
삼성화재,000810,55.0,0,30,0,0,0,20,0,0,0,0,0,5,0
효성중공업,298040,55.0,0,40,0,0,0,0,0,0,0,10,5,0,0
현대제철,004020,55.0,0,50,0,5,0,0,0,0,0,0,0,0,0
F&F,383220,55.0,0,20,0,0,0,30,0,0,0,5,0,0,0
