Name,Code,Score_1w,rsi30,momentum_pos,macd_cross,ema5_over_ema20,ema20_over_ema60,rs_plus,vol_120,vol_150,frg_own_1m_up,frg_3_pos,frg_5_pos,ins_3_pos,ins_5_pos
영풍,000670,180.0,0,50,0,0,0,50,0,40,0,0,0,20,20
삼성전자,005930,165.0,0,40,0,0,0,50,5,20,0,20,20,10,0
삼성물산,028260,160.0,20,30,10,0,0,50,0,0,0,25,25,0,0
SK스퀘어,402340,150.0,10,30,10,0,0,50,0,20,0,0,0,20,10
HD현대,267250,140.0,0,40,0,0,0,30,5,20,0,25,20,0,0
LG디스플레이,034220,140.0,0,50,0,0,0,50,0,0,0,20,20,0,0
에이피알,278470,135.0,0,50,0,0,0,50,10,0,0,10,0,10,5
한미반도체,042700,135.0,0,40,0,0,0,50,10,30,0,0,0,5,0
한솔케미칼,014680,125.0,0,40,0,0,0,50,5,0,0,0,0,15,15
효성중공업,298040,125.0,10,30,10,0,0,50,0,0,0,5,0,15,5
미래에셋증권,006800,120.0,0,40,0,0,0,40,5,0,0,0,0,20,15
한화시스템,272210,120.0,10,30,0,0,0,30,0,0,0,10,10,15,15
삼성전기,009150,120.0,10,20,0,0,0,40,10,0,0,20,20,0,0
NAVER,035420,115.0,0,30,0,0,0,50,10,20,0,0,0,5,0
SK하이닉스,000660,115.0,0,40,10,0,0,50,10,0,0,0,0,5,0
HD현대마린솔루션,443060,115.0,0,50,10,5,0,10,10,20,0,5,0,5,0
금호석유화학,011780,115.0,0,40,10,0,0,0,15,0,0,25,25,0,0
LG유플러스,032640,110.0,0,40,0,0,0,10,10,0,0,25,25,0,0
현대제철,004020,110.0,50,0,0,0,0,10,0,0,0,25,25,0,0
KCC,002380,105.0,30,40,0,0,0,0,0,30,0,5,0,0,0
HD현대미포,010620,105.0,0,50,10,5,0,0,5,0,0,5,0,20,10
롯데칠성,005300,105.0,50,0,0,0,0,0,5,20,0,20,10,0,0
HD현대일렉트릭,267260,105.0,0,40,10,0,0,50,5,0,0,0,0,0,0
HD한국조선해양,009540,105.0,0,50,0,5,0,0,10,0,0,25,15,0,0
두산밥캣,241560,100.0,0,40,0,0,0,0,10,0,0,25,25,0,0
한화에어로스페이스,012450,100.0,0,30,0,0,0,40,0,0,0,15,15,0,0
삼성에스디에스,018260,100.0,0,40,0,0,0,30,5,20,0,0,0,5,0
고려아연,010130,100.0,20,20,10,5,0,20,5,10,0,0,0,10,0
한샘,009240,100.0,30,20,10,5,0,10,5,20,0,0,0,0,0
코오롱인더,120110,100.0,30,20,0,0,0,0,0,0,0,25,25,0,0
GS리테일,007070,100.0,0,30,10,5,0,10,5,30,0,10,0,0,0
DL,000210,95.0,20,30,10,0,0,0,10,0,0,15,10,0,0
삼성E&A,028050,95.0,20,20,0,0,0,0,5,0,0,25,25,0,0
대한전선,001440,95.0,0,30,10,5,0,10,5,10,0,15,5,5,0
대웅제약,069620,95.0,30,0,0,0,0,0,5,20,0,25,15,0,0
아모레퍼시픽홀딩스,002790,95.0,0,20,10,0,0,0,15,0,0,25,25,0,0
S-Oil,010950,95.0,0,50,0,0,0,0,5,30,0,10,0,0,0
한국카본,017960,95.0,0,50,10,5,0,0,0,0,0,0,0,15,15
포스코퓨처엠,003670,90.0,0,40,0,0,0,20,5,0,0,0,0,15,10
LG,003550,90.0,50,0,0,0,0,0,15,20,0,5,0,0,0
신세계,004170,90.0,50,0,0,0,0,20,0,0,0,15,5,0,0
현대엘리베이터,017800,90.0,10,20,10,5,10,0,0,30,0,5,0,0,0
키움증권,039490,90.0,40,0,0,0,0,50,0,0,0,0,0,0,0
HDC,012630,90.0,50,0,0,0,0,0,0,0,0,25,15,0,0
SK이노베이션,096770,90.0,20,30,10,0,0,0,0,30,0,0,0,0,0
현대모비스,012330,85.0,40,10,0,0,0,0,5,0,0,20,10,0,0
세방전지,004490,85.0,0,30,0,0,0,0,5,40,0,0,0,5,5
현대백화점,069960,85.0,30,0,0,0,0,30,5,0,0,15,5,0,0
GS건설,006360,85.0,20,20,0,0,0,0,5,0,0,25,15,0,0
풍산,103140,85.0,0,50,10,5,0,10,0,0,0,5,0,5,0
롯데케미칼,011170,85.0,0,30,0,0,0,20,5,10,0,15,5,0,0
한미약품,128940,80.0,30,0,0,0,0,50,0,0,0,0,0,0,0
롯데정밀화학,004000,80.0,50,0,0,0,0,10,0,0,0,15,5,0,0
BNK금융지주,138930,80.0,20,10,0,0,0,0,0,0,0,0,0,25,25
코스맥스,192820,80.0,50,0,0,0,0,0,10,20,0,0,0,0,0
동서,026960,80.0,40,0,0,0,0,0,10,0,0,0,0,15,15
HD현대중공업,329180,80.0,0,50,10,5,0,0,0,0,0,5,0,10,0
엔씨소프트,036570,75.0,50,0,0,0,0,20,0,0,0,5,0,0,0
LS ELECTRIC,010120,75.0,0,40,10,5,0,0,10,0,0,0,0,10,0
두산에너빌리티,034020,75.0,0,30,0,0,0,20,0,20,0,5,0,0,0
LG전자,066570,75.0,30,20,10,5,0,0,5,0,0,5,0,0,0
금호타이어,073240,75.0,50,0,0,0,0,0,5,10,0,0,0,5,5
더블유게임즈,192080,75.0,50,0,0,0,0,0,15,0,0,10,0,0,0
덴티움,145720,75.0,50,0,0,0,0,0,0,0,0,0,0,15,10
지역난방공사,071320,75.0,30,0,0,0,0,20,15,0,0,0,0,5,5
세아베스틸지주,001430,75.0,30,20,10,0,0,0,5,10,0,0,0,0,0
CJ제일제당,097950,75.0,10,30,10,0,0,0,15,0,0,10,0,0,0
한전기술,052690,75.0,10,20,10,0,0,0,5,0,0,20,10,0,0
CJ,001040,75.0,50,0,0,0,0,20,0,0,0,5,0,0,0
한올바이오파마,009420,75.0,0,40,10,0,0,10,10,0,0,0,0,5,0
LG에너지솔루션,373220,70.0,0,30,0,5,0,10,5,20,0,0,0,0,0
현대글로비스,086280,70.0,50,0,0,0,0,0,0,0,0,10,10,0,0
