Name,Code,Score_1w,rsi30,momentum_pos,macd_cross,ema5_over_ema20,ema20_over_ema60,rs_plus,vol_120,vol_150,frg_own_1m_up,frg_3_pos,frg_5_pos,ins_3_pos,ins_5_pos
대한전선,001440,195.0,0,50,0,0,0,50,0,50,0,5,0,25,15
하이브,352820,190.0,0,50,0,0,0,20,0,50,0,15,5,25,25
LS,006260,190.0,0,40,0,0,0,40,10,10,0,25,25,20,20
현대건설,000720,170.0,0,50,0,0,10,50,0,50,0,0,0,10,0
SK이노베이션,096770,165.0,0,40,0,0,0,50,5,20,0,10,0,20,20
LS ELECTRIC,010120,160.0,0,50,0,0,0,50,0,10,0,0,0,25,25
삼성SDI,006400,155.0,0,50,0,0,0,50,5,40,0,10,0,0,0
SKC,011790,155.0,0,50,0,0,0,30,5,40,0,0,0,15,15
후성,093370,155.0,0,50,0,0,0,50,5,40,0,0,0,10,0
한온시스템,018880,150.0,0,50,0,0,0,50,0,30,0,10,10,0,0
삼성중공업,010140,145.0,0,50,0,0,0,50,5,40,0,0,0,0,0
LG화학,051910,140.0,0,40,0,0,0,50,5,10,0,20,10,5,0
포스코DX,022100,135.0,0,40,0,0,0,50,0,30,0,10,0,5,0
삼성물산,028260,130.0,0,50,20,0,0,20,0,30,0,10,0,0,0
미래에셋증권,006800,130.0,0,50,0,0,0,40,10,0,0,0,0,20,10
SK하이닉스,000660,130.0,0,50,0,0,0,50,5,0,0,0,0,15,10
SK바이오팜,326030,130.0,0,50,0,0,0,0,10,30,0,10,0,20,10
동원산업,006040,130.0,0,50,0,0,10,0,5,30,0,20,15,0,0
한화오션,042660,130.0,0,40,0,0,0,50,10,30,0,0,0,0,0
엘앤에프,066970,125.0,0,40,0,0,0,50,15,20,0,0,0,0,0
LG에너지솔루션,373220,125.0,0,40,0,0,0,50,5,10,0,15,5,0,0
두산에너빌리티,034020,125.0,0,50,0,0,0,50,15,0,0,0,0,10,0
GS리테일,007070,125.0,0,50,0,0,0,0,0,30,0,0,0,25,20
OCI홀딩스,010060,125.0,0,50,0,0,0,50,15,0,0,5,0,5,0
HD현대,267250,120.0,0,50,0,0,0,50,10,10,0,0,0,0,0
한국타이어앤테크놀로지,161390,120.0,0,40,0,0,0,40,0,0,0,20,20,0,0
KCC,002380,120.0,0,50,0,0,0,30,0,0,0,20,20,0,0
HS효성첨단소재,298050,120.0,0,40,0,0,10,0,10,30,0,15,15,0,0
코스모화학,005420,120.0,0,40,0,0,0,50,0,0,0,10,0,10,10
한미약품,128940,120.0,0,50,10,5,0,10,5,40,0,0,0,0,0
HD현대일렉트릭,267260,120.0,0,50,0,0,0,50,10,10,0,0,0,0,0
두산,000150,120.0,0,50,0,0,0,50,0,0,0,15,5,0,0
LG이노텍,011070,115.0,0,50,0,0,0,10,5,0,0,15,15,15,5
삼성전자,005930,115.0,0,50,10,0,0,50,5,0,0,0,0,0,0
S-Oil,010950,115.0,0,30,0,0,0,40,5,0,0,20,10,5,5
삼성바이오로직스,207940,115.0,0,50,0,0,0,40,5,10,0,0,0,5,5
대우건설,047040,115.0,0,40,0,0,0,0,5,40,0,10,10,10,0
한진칼,180640,115.0,0,50,0,5,0,0,0,40,0,0,0,15,5
세아베스틸지주,001430,115.0,0,40,0,0,10,10,15,10,0,0,0,15,15
LIG넥스원,079550,110.0,0,50,0,5,0,0,5,10,0,0,0,25,15
HD현대미포,010620,110.0,0,50,0,0,0,50,5,0,0,0,0,5,0
포스코퓨처엠,003670,110.0,0,40,0,0,0,50,10,10,0,0,0,0,0
SK,034730,110.0,0,50,0,0,0,20,0,0,0,5,5,20,10
효성중공업,298040,110.0,0,50,0,0,0,50,5,0,0,0,0,5,0
SK스퀘어,402340,110.0,0,40,0,0,0,50,0,0,0,0,0,15,5
카카오,035720,105.0,0,50,10,5,0,0,0,30,0,5,0,5,0
HD현대중공업,329180,105.0,0,50,0,0,0,40,10,0,0,5,0,0,0
HD한국조선해양,009540,105.0,0,40,0,0,0,20,15,0,0,0,0,20,10
SK바이오사이언스,302440,100.0,0,50,0,0,0,0,0,40,0,10,0,0,0
