Name,Code,Score_1w,rsi30,momentum_pos,macd_cross,ema5_over_ema20,ema20_over_ema60,rs_plus,vol_120,vol_150,frg_own_1m_up,frg_3_pos,frg_5_pos,ins_3_pos,ins_5_pos
iM금융지주,139130,200.0,10,40,10,5,0,40,0,50,0,25,20,0,0
BNK금융지주,138930,185.0,10,40,10,0,0,50,10,30,0,15,10,10,0
한국카본,017960,185.0,0,50,0,0,0,50,5,40,0,0,0,20,20
F&F,383220,170.0,0,50,10,0,0,40,5,20,0,0,0,25,20
현대위아,011210,170.0,0,50,0,0,0,50,0,30,0,0,0,25,15
녹십자,006280,170.0,0,40,0,0,0,50,0,20,0,15,5,25,15
이마트,139480,165.0,0,40,0,0,0,50,5,30,0,0,0,25,15
TKG휴켐스,069260,165.0,0,40,0,0,0,50,5,20,0,0,0,25,25
OCI홀딩스,010060,155.0,0,50,0,5,0,20,15,20,0,0,0,25,20
금호석유화학,011780,155.0,0,40,0,0,0,50,15,10,0,0,0,25,15
효성티앤씨,298020,150.0,0,50,0,0,0,50,25,0,0,0,0,15,10
GS건설,006360,145.0,0,40,0,0,0,50,5,10,0,0,0,25,15
미원에스씨,268280,145.0,0,50,0,0,10,50,5,10,0,0,0,15,5
오리온홀딩스,001800,140.0,0,30,0,0,0,50,10,0,0,0,0,25,25
HL만도,204320,140.0,30,20,0,0,0,50,10,0,0,0,0,20,10
세아베스틸지주,001430,140.0,0,40,0,0,0,50,0,50,0,0,0,0,0
하이브,352820,140.0,0,50,0,0,0,30,20,10,0,0,0,20,10
오리온,271560,135.0,0,50,10,5,0,10,0,0,0,15,5,25,15
한일시멘트,300720,135.0,10,20,0,0,0,50,5,10,0,0,0,20,20
강원랜드,035250,135.0,0,50,10,0,0,40,0,30,0,5,0,0,0
한화생명,088350,130.0,0,50,0,0,0,50,10,10,0,0,0,10,0
롯데칠성,005300,130.0,10,20,0,0,0,50,0,10,0,0,0,25,15
현대해상,001450,130.0,0,50,10,0,0,50,10,0,0,0,0,10,0
한국가스공사,036460,125.0,10,10,0,0,0,30,15,10,0,0,0,25,25
DN오토모티브,007340,125.0,30,10,0,0,0,50,0,0,0,0,0,20,15
HD현대인프라코어,042670,125.0,10,20,0,0,0,40,5,10,0,10,10,10,10
코웨이,021240,125.0,0,50,0,5,0,20,5,0,0,0,0,25,20
코오롱인더,120110,120.0,0,30,0,0,0,50,0,0,0,0,0,25,15
금호타이어,073240,120.0,10,40,0,0,0,50,0,0,0,0,0,15,5
녹십자홀딩스,005250,120.0,0,30,0,0,0,50,0,30,0,0,0,10,0
동서,026960,120.0,0,40,0,0,0,30,0,0,0,0,0,25,25
대웅제약,069620,120.0,10,10,0,0,0,50,0,0,0,25,25,0,0
키움증권,039490,120.0,0,30,10,5,0,40,0,20,0,5,5,5,0
현대오토에버,307950,120.0,20,20,10,0,0,50,0,20,0,0,0,0,0
두산밥캣,241560,115.0,0,20,0,0,0,40,5,0,0,0,0,25,25
KT,030200,115.0,0,50,0,0,0,40,10,10,0,0,0,5,0
SK바이오팜,326030,115.0,30,0,0,0,0,30,0,0,0,25,25,5,0
롯데쇼핑,023530,115.0,0,30,0,0,0,30,0,10,0,0,0,25,20
