종목명,종목코드,h1_high_RMSE,h1_high_MAE,h1_high_MAPE(%),h1_high_Bias,h1_high_count,h1_low_RMSE,h1_low_MAE,h1_low_MAPE(%),h1_low_Bias,h1_low_count,h1_close_RMSE,h1_close_MAE,h1_close_MAPE(%),h1_close_Bias,h1_close_count,h1_close_DirAcc(%),h1_close_Dir_count,h2_high_RMSE,h2_high_MAE,h2_high_MAPE(%),h2_high_Bias,h2_high_count,h2_low_RMSE,h2_low_MAE,h2_low_MAPE(%),h2_low_Bias,h2_low_count,h2_close_RMSE,h2_close_MAE,h2_close_MAPE(%),h2_close_Bias,h2_close_count,h2_close_DirAcc(%),h2_close_Dir_count,h3_high_RMSE,h3_high_MAE,h3_high_MAPE(%),h3_high_Bias,h3_high_count,h3_low_RMSE,h3_low_MAE,h3_low_MAPE(%),h3_low_Bias,h3_low_count,h3_close_RMSE,h3_close_MAE,h3_close_MAPE(%),h3_close_Bias,h3_close_count,h3_close_DirAcc(%),h3_close_Dir_count
HD현대인프라코어,42670,480.0053501523277,364.3122065205907,2.3153014865437895,-14.26455512989399,43,628.3474267605003,458.63818412603337,3.0429729972569826,-239.17166876238454,43,1512.6287462604855,1445.4312973244243,9.338839455404605,-1419.457719298296,43,47.61904761904761,42,2362.837159143197,2262.7842819264956,14.258226985350827,-2262.7842819264956,42,831.2346953519201,649.8562180924985,4.259740543940124,-369.3574286287741,42,2038.195033228307,1916.9433668681554,12.372455123758549,-1916.9433668681554,42,47.61904761904761,42,1936.7946684374863,1771.994279550343,11.104939826328312,-1744.5520991668468,41,985.1530170903537,793.8016190470721,5.236627789524005,-467.577420676627,41,1714.438406651504,1580.4786289465135,10.122800580578694,-1511.1978408621576,41,48.78048780487805,41
LG디스플레이,34220,491.0956868824971,329.39835002256035,2.736183417957523,118.0718492075457,43,397.5722424832457,328.606495178023,2.855195750418836,-283.0548197585483,43,599.7451228602637,390.15356493550644,3.2506171816684164,-308.3054677275723,43,42.857142857142854,42,691.489435478095,485.66426004682285,3.9694613821306843,-298.9115034682409,42,485.27509568475,379.3747046306019,3.275433925581228,-315.37553513333904,42,574.4284482966244,397.4021759203504,3.290353362756674,-213.5906885919118,42,47.61904761904761,42,748.655499749752,528.1725887845203,4.298243259404085,-250.7599390716085,41,403.79109905294143,322.4804200341062,2.7919552657163105,-83.02254509635088,41,637.9986418161371,444.67237955186425,3.6833681631072714,-184.84297575020207,41,43.90243902439025,41
LG이노텍,11070,4710.309560572562,3188.0094937113836,1.8510463049616035,-1327.1039537219108,43,3142.449649064783,2350.1908632211894,1.4249359308700882,508.4562370943455,43,4537.280388653022,3251.783231385918,1.9225837002286603,-1160.8633056629528,43,33.33333333333333,42,5617.060218874571,4107.708191871643,2.3763981349091448,-768.0907232420785,42,5505.196733333792,4346.405199879693,2.5924084596047354,-2141.935260239102,42,6071.6679983879485,4711.617306158655,2.765252214468415,-1745.253637716883,42,47.61904761904761,42,8055.609336873864,5849.709404096372,3.340180660280894,-3700.734727847867,41,8012.963248164335,6326.253559385857,3.7522231609548875,-5068.272930674436,41,7899.211153255278,6014.305544044913,3.490505481210922,-2951.8126907872006,41,46.34146341463415,41
SK스퀘어,402340,5734.6238404538,4868.761865356981,3.023768989605972,2597.17958238132,43,7436.485811833297,5749.345442028932,3.4899882874797163,-5044.677900990774,43,6022.705570163241,4488.977871800579,2.7400162478640144,-1028.3341908177665,43,52.38095238095239,42,13457.27774083493,11161.32801837401,6.54736417767636,-10898.920920160177,42,11976.813270297365,9321.032542699857,5.537266256304113,-8732.840277041705,42,13740.619536038479,11074.634629913742,6.537849714475581,-10908.30066218263,42,47.61904761904761,42,14920.542382748683,10829.573671742683,6.089243875007706,-9583.554789247082,41,18856.09213469346,14557.13292810975,8.57890778197576,-14369.611832426815,41,10594.869397529017,7966.7367153051455,4.828046226144147,-1776.3719186550254,41,48.78048780487805,41
삼성물산,28260,5772.267381096467,4586.926560069238,2.553089634520483,-4467.730546274848,43,3837.296944082574,3096.119486453922,1.778691618984945,-2389.058863562205,43,8103.16559301158,6872.575421250142,3.8531578284740013,-6793.152039411455,43,42.857142857142854,42,5786.468887476662,4676.71511002949,2.608194383131333,-2942.0968189125933,42,5550.834921315021,4469.375807188805,2.578702060246903,-3531.909162231852,42,8768.653807049895,7523.097307909101,4.241218247636153,-7024.690859942208,42,38.095238095238095,42,5566.990642418741,4504.901185559063,2.567337612553901,-672.3553253383143,41,5336.909417587809,4140.0082240744305,2.400088872068385,-1154.4352122923194,41,6279.568045934974,4951.037409828929,2.821534504995475,-2426.694307385419,41,51.21951219512195,41
삼성전자,5930,1468.7541115558827,1089.5789843659068,1.480369850122088,-793.5836083667223,43,1895.769170081381,1734.150849248088,2.4124987207442072,-1679.919627794,43,1683.0941131232435,1320.20175997601,1.806789243868602,-936.5508319333542,43,35.714285714285715,42,1973.4136786293564,1626.1894878886994,2.20758285069479,-259.48809073084874,42,1918.977608203457,1617.1116738092333,2.2223215061244757,-1040.1641573224747,42,2772.8201764744945,2245.4088435286567,3.02452974376832,-1995.472087462743,42,42.857142857142854,42,2755.0370364423766,2178.9574442840203,2.9075331565518394,-1206.498324580309,41,2315.3113310573694,1947.7692759618526,2.662594717037312,-914.8668889592334,41,3747.6763100397056,2953.0421739671287,3.9369878495777972,-2775.635678302951,41,39.02439024390244,41
신세계,4170,3109.5785870127056,2523.9304999972505,1.4163747319084228,1119.670050365981,43,2849.0201068804413,2280.0358711287017,1.3121633742310959,-986.9269498558918,43,4464.692426944667,3276.4692312063153,1.8271172334476238,-2585.9148369278987,43,45.23809523809524,42,7906.642936327937,6241.364403139977,3.470848176875305,-5215.060067318732,42,6882.565680757864,5402.101739815303,3.078147098896224,-4600.720941736583,42,6635.536835851319,5429.2867483127675,3.1400566356639286,3636.799661744209,42,50.0,42,7900.562932741539,6027.407407179111,3.333629127116501,-2831.5471198500663,41,5524.694050800287,4275.079818760477,2.461682979152452,-674.3296056258962,41,7235.468989912511,5868.401384789767,3.3588437000058993,1772.8460266822742,41,43.90243902439025,41
지역난방공사,71320,2895.1624458577166,2388.6904805205604,2.822551349085363,-2175.8757269659723,43,2164.531700029073,1717.0644270819287,2.1185369180686595,-1093.6083079770553,43,3497.6495739195207,2957.1182543455166,3.5439542199522043,-2774.2812695891353,43,52.38095238095239,42,3753.45383375132,2941.3956378187454,3.4676731071866183,-2092.5136424246307,42,3183.266738655324,2619.614784774326,3.233686263685643,-1495.4242995807103,42,4029.2211392385248,3265.880527524721,3.914928150576749,-2846.2696315277185,42,52.38095238095239,42,3528.3360905194995,2848.872397004105,3.3806471127106352,56.92509674444289,41,3651.762789339625,2954.6247998388803,3.6429811950966173,-1844.1103654663737,41,3415.4122411288154,2684.0882134146805,3.226573175335026,-1178.9760875992656,41,48.78048780487805,41
한미약품,128940,9984.162780612007,6738.567049420159,2.120626557353088,511.1876899419842,43,12127.615374392919,10984.6572314584,3.766853542696818,8451.826398455818,43,12507.26175817386,11496.302168729699,3.9147271606463594,9752.062001200615,43,64.28571428571429,42,13625.100919944145,9117.650631637796,2.8304526129902783,-1931.177613990646,42,14682.257160697493,8967.156449598924,2.827311837489708,-5011.079162004449,42,12275.174996353557,8966.033509089833,2.9022264974263634,1226.358637213707,42,52.38095238095239,42,19608.369042013648,16349.654761029453,5.286028145502793,6157.442486140789,41,26473.734778940176,20754.459883745123,6.716827985948422,-20517.4078152674,41,24190.51562040825,22279.36252951622,7.5613841198937495,18032.34542506497,41,58.536585365853654,41
호텔신라,8770,1422.672795553564,920.2271390099846,1.8006291029389216,-642.6833694064328,43,1269.7534678283282,1015.7619271167489,2.1043948726837614,852.7156760526265,43,1687.0596020999278,1430.345200452693,2.860229973358231,-1270.1239590727996,43,52.38095238095239,42,2152.965570530428,1541.5425348139947,3.006568917211038,-1021.3857004330272,42,1686.4257779452257,1297.8414661117965,2.6717760479037036,119.18534899041767,42,1789.0153928287332,1407.023721720492,2.856916295134643,198.79719224714148,42,40.476190476190474,42,2531.0425835633373,1858.4608630436223,3.620483411398227,-959.8678774949974,41,2704.560885277416,2145.2847067175835,4.310159086241476,-1899.2634545739097,41,2249.2077787254602,1710.0796791838436,3.3973731746861024,-973.1635264507145,41,46.34146341463415,41
