종목명,종목코드,horizon,target,RMSE,MAE,MAPE(%),Bias,count,DirAcc_close(%),Dir_count
HD현대인프라코어,042670,h1,high,480.0053501523277,364.3122065205907,2.315301486543789,-14.26455512989399,43,,0
HD현대인프라코어,042670,h1,low,628.3474267605003,458.63818412603337,3.0429729972569826,-239.1716687623845,43,,0
HD현대인프라코어,042670,h1,close,1512.6287462604855,1445.4312973244243,9.338839455404605,-1419.457719298296,43,47.61904761904761,42
HD현대인프라코어,042670,h2,high,2362.837159143197,2262.784281926496,14.258226985350827,-2262.784281926496,42,,0
HD현대인프라코어,042670,h2,low,831.2346953519201,649.8562180924985,4.259740543940124,-369.3574286287741,42,,0
HD현대인프라코어,042670,h2,close,2038.195033228307,1916.9433668681556,12.372455123758549,-1916.9433668681556,42,47.61904761904761,42
HD현대인프라코어,042670,h3,high,1936.7946684374865,1771.994279550343,11.104939826328312,-1744.5520991668468,41,,0
HD현대인프라코어,042670,h3,low,985.1530170903536,793.8016190470721,5.236627789524005,-467.577420676627,41,,0
HD현대인프라코어,042670,h3,close,1714.438406651504,1580.4786289465137,10.122800580578694,-1511.1978408621576,41,48.78048780487805,41
LG디스플레이,034220,h1,high,491.0956868824971,329.39835002256035,2.736183417957523,118.0718492075457,43,,0
LG디스플레이,034220,h1,low,397.5722424832457,328.606495178023,2.855195750418836,-283.0548197585483,43,,0
LG디스플레이,034220,h1,close,599.7451228602637,390.1535649355064,3.2506171816684164,-308.3054677275723,43,42.85714285714285,42
LG디스플레이,034220,h2,high,691.489435478095,485.6642600468229,3.969461382130684,-298.9115034682409,42,,0
LG디스플레이,034220,h2,low,485.27509568475,379.3747046306019,3.275433925581228,-315.37553513333904,42,,0
LG디스플레이,034220,h2,close,574.4284482966244,397.4021759203504,3.290353362756674,-213.5906885919118,42,47.61904761904761,42
LG디스플레이,034220,h3,high,748.655499749752,528.1725887845203,4.298243259404085,-250.7599390716085,41,,0
LG디스플레이,034220,h3,low,403.79109905294143,322.4804200341062,2.7919552657163105,-83.02254509635088,41,,0
LG디스플레이,034220,h3,close,637.9986418161371,444.67237955186425,3.683368163107272,-184.84297575020207,41,43.90243902439025,41
LG이노텍,011070,h1,high,4710.309560572562,3188.009493711384,1.8510463049616035,-1327.1039537219108,43,,0
LG이노텍,011070,h1,low,3142.449649064783,2350.1908632211894,1.4249359308700882,508.4562370943455,43,,0
LG이노텍,011070,h1,close,4537.280388653022,3251.783231385918,1.9225837002286603,-1160.8633056629528,43,33.33333333333333,42
LG이노텍,011070,h2,high,5617.060218874571,4107.708191871643,2.3763981349091448,-768.0907232420785,42,,0
LG이노텍,011070,h2,low,5505.196733333792,4346.405199879693,2.5924084596047354,-2141.935260239102,42,,0
LG이노텍,011070,h2,close,6071.6679983879485,4711.617306158655,2.765252214468415,-1745.253637716883,42,47.61904761904761,42
LG이노텍,011070,h3,high,8055.609336873864,5849.709404096372,3.340180660280894,-3700.734727847867,41,,0
LG이노텍,011070,h3,low,8012.963248164335,6326.253559385857,3.752223160954888,-5068.272930674436,41,,0
LG이노텍,011070,h3,close,7899.211153255278,6014.305544044913,3.490505481210922,-2951.8126907872006,41,46.34146341463415,41
SK스퀘어,402340,h1,high,5734.6238404538,4868.761865356981,3.023768989605972,2597.17958238132,43,,0
SK스퀘어,402340,h1,low,7436.485811833297,5749.345442028932,3.4899882874797163,-5044.677900990774,43,,0
SK스퀘어,402340,h1,close,6022.705570163241,4488.977871800579,2.7400162478640144,-1028.3341908177665,43,52.38095238095239,42
