source_file,종목명,종목코드,권장호라이즌,last_close,매수가(entry),익절가(tp),손절가(sl),RR,Score_1w,ord_qty,side,confidence,holding_days,valid_until,ATR,buf_close,buf_high,buf_low,요약점수(h1),요약점수(h2),요약점수(h3),ex_base_h1,ex_pen_h1,ex_base_h2,ex_pen_h2,ex_base_h3,ex_pen_h3,flags_h1,flags_h2,flags_h3,warn_bad_RR,h1_MAPE(%),h1_DirAcc(%),h1_Bias,h1_MAE,h1_count,h3_MAPE(%),h3_DirAcc(%),h3_Bias,h3_MAE,h3_count,h2_MAPE(%),h2_DirAcc(%),h2_Bias,h2_MAE,h2_count,risk_cap_used,Score_1w_num,RR_num,conf_num
pred_한국카본_017960.csv,한국카본,017960,h1,33000.0,32740.0,34840.0,31980.0,2.76,185.0,6,BUY,0.556,1,2025-12-23T15:20:00+09:00,1704.168,1022.501,1022.501,1254.507,0.75,1.5,1.5,0.0,0.75,0.75,0.75,0.75,0.75,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN,0,2.9202078930117144,54.761904761904766,-91.17609124441194,900.7373785118702,43.0,,,,,,,,,,,0.2,185.0,2.76,0.556
pred_현대위아_011210.csv,현대위아,011210,h2,73000.0,72460.0,76830.0,70880.0,2.77,170.0,2,BUY,0.566,2,2025-12-24T15:20:00+09:00,3550.0,2130.0,2130.0,3735.311,1.05,1.0,1.2,0.3,0.75,0.5,0.5,0.7,0.5,MAPE>MAX;DA<MIN,MAPE>MAX,MAPE>MAX,0,,,,,,,,,,,2.9980317224518465,61.90476190476191,-274.19825692971546,1855.9929761148628,42.0,0.2,170.0,2.77,0.566
pred_F&F_383220.csv,F&F,383220,h1,78200.0,77750.0,81430.0,76410.0,2.75,170.0,2,BUY,0.542,1,2025-12-23T15:20:00+09:00,2991.667,1795.0,3561.894,1795.0,0.325,1.275,1.65,0.075,0.25,0.525,0.75,0.9,0.75,DA<MIN,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN,0,1.94132039141626,45.23809523809524,-487.8037747948665,1375.685172995856,43.0,,,,,,,,,,,0.2,170.0,2.75,0.542
pred_이마트_139480.csv,이마트,139480,h1,86800.0,86220.0,90920.0,84510.0,2.75,165.0,2,BUY,0.62,1,2025-12-23T15:20:00+09:00,3820.834,2292.501,2292.501,2292.501,0.4,1.0,1.1,0.15,0.25,0.75,0.25,0.6,0.5,DA<MIN,DA<MIN,MAPE>MAX,0,1.6273057834999625,54.761904761904766,-145.99015019660806,1302.5339043417646,43.0,,,,,,,,,,,0.2,165.0,2.75,0.62
