source_file,종목명,종목코드,권장호라이즌,last_close,매수가(entry),익절가(tp),손절가(sl),RR,Score_1w,ord_qty,side,confidence,holding_days,valid_until,ATR,buf_close,buf_high,buf_low,요약점수(h1),요약점수(h2),요약점수(h3),ex_base_h1,ex_pen_h1,ex_base_h2,ex_pen_h2,ex_base_h3,ex_pen_h3,flags_h1,flags_h2,flags_h3,warn_bad_RR,h1_MAPE(%),h1_DirAcc(%),h1_Bias,h1_MAE,h1_count,h3_MAPE(%),h3_DirAcc(%),h3_Bias,h3_MAE,h3_count,h2_MAPE(%),h2_DirAcc(%),h2_Bias,h2_MAE,h2_count,risk_cap_used
pred_iM금융지주_139130.csv,iM금융지주,139130,h3,15270.0,15200.0,13950.0,15670.0,,200.0,0,BUY,0.591,3,2025-12-25T15:20:00+09:00,360.833,275.538,483.965,633.777,0.85,1.8,0.25,0.4,0.45,0.85,0.95,0.25,0.0,DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,,1,,,,,,1.9331634533611297,60.97560975609756,-85.41643841964452,275.5381435737377,41.0,,,,,,0.2
pred_BNK금융지주_138930.csv,BNK금융지주,138930,h2,16230.0,16110.0,17020.0,15790.0,2.84,185.0,0,BUY,0.377,2,2025-12-24T15:20:00+09:00,420.833,442.346,1063.921,467.009,1.8,0.8,1.5,0.85,0.95,0.1,0.7,0.55,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,2.9784607596278696,59.523809523809526,435.5586334495317,442.3462631446976,42.0,0.2
pred_한국카본_017960.csv,한국카본,017960,h1,33000.0,32740.0,34840.0,31980.0,2.76,185.0,6,BUY,0.556,1,2025-12-23T15:20:00+09:00,1704.168,1022.501,1022.501,1254.507,0.75,1.5,1.5,0.0,0.75,0.75,0.75,0.75,0.75,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN,0,2.9202078930117144,54.761904761904766,-91.17609124441194,900.7373785118702,43.0,,,,,,,,,,,0.2
pred_현대위아_011210.csv,현대위아,011210,h2,73000.0,72460.0,76830.0,70880.0,2.77,170.0,2,BUY,0.566,2,2025-12-24T15:20:00+09:00,3550.0,2130.0,2130.0,3735.311,1.05,1.0,1.2,0.3,0.75,0.5,0.5,0.7,0.5,MAPE>MAX;DA<MIN,MAPE>MAX,MAPE>MAX,0,,,,,,,,,,,2.9980317224518465,61.904761904761905,-274.19825692971546,1855.9929761148628,42.0,0.2
pred_F&F_383220.csv,F&F,383220,h1,78200.0,77750.0,81430.0,76410.0,2.75,170.0,2,BUY,0.542,1,2025-12-23T15:20:00+09:00,2991.667,1795.0,3561.894,1795.0,0.325,1.275,1.65,0.075,0.25,0.525,0.75,0.9,0.75,DA<MIN,MAPE>MAX;DA<MIN,MAPE>MAX;DA<MIN,0,1.94132039141626,45.23809523809524,-487.8037747948665,1375.685172995856,43.0,,,,,,,,,,,0.2
pred_녹십자_006280.csv,녹십자,006280,h3,164100.01,162670.0,161950.0,160350.0,-0.31,170.0,0,BUY,0.31,3,2025-12-25T15:20:00+09:00,7649.998,5680.153,5225.081,7401.122,1.275,1.875,1.2,0.325,0.95,0.925,0.95,0.25,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,1,,,,,,3.8861753656513573,41.46341463414634,-4199.411466208899,5680.152628625313,41.0,,,,,,0.2
pred_TKG휴켐스_069260.csv,TKG휴켐스,069260,h1,19730.0,19660.0,20190.0,19470.0,2.79,165.0,0,BUY,0.435,1,2025-12-23T15:20:00+09:00,433.333,260.207,260.788,260.0,0.625,1.225,0.8,0.175,0.45,0.775,0.45,0.55,0.25,DA<MIN;|Bias|>r*MAE,DA<MIN;|Bias|>r*MAE,DA<MIN,0,1.393899620986085,47.61904761904761,-215.9137509867204,260.20654997160284,43.0,,,,,,,,,,,0.2
pred_이마트_139480.csv,이마트,139480,h1,86800.0,86220.0,90920.0,84510.0,2.75,165.0,2,BUY,0.62,1,2025-12-23T15:20:00+09:00,3820.834,2292.501,2292.501,2292.501,0.4,1.0,1.1,0.15,0.25,0.75,0.25,0.6,0.5,DA<MIN,DA<MIN,MAPE>MAX,0,1.6273057834999625,54.761904761904766,-145.99015019660806,1302.5339043417646,43.0,,,,,,,,,,,0.2
pred_금호석유화학_011780.csv,금호석유화학,011780,h2,124800.0,124250.0,128730.0,122620.0,2.75,155.0,0,BUY,0.613,2,2025-12-24T15:20:00+09:00,3391.667,2188.413,2935.206,2079.274,1.125,0.475,0.6,0.675,0.45,0.225,0.25,0.6,0.0,DA<MIN;|Bias|>r*MAE,DA<MIN,,0,,,,,,,,,,,1.8524614933114987,54.761904761904766,23.08050081843664,2188.4126319771744,42.0,0.2
pred_OCI홀딩스_010060.csv,OCI홀딩스,010060,h1,114800.0,113540.0,123820.0,109790.0,2.74,155.0,0,BUY,0.311,1,2025-12-23T15:20:00+09:00,5200.0,5013.523,4238.984,4802.061,1.05,1.5,1.8,0.1,0.95,0.55,0.95,0.85,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,4.583443239952598,50.0,3520.866588104604,5013.523388463399,43.0,,,,,,,,,,,0.2
pred_효성티앤씨_298020.csv,효성티앤씨,298020,h1,237999.97,236900.0,245850.0,233640.0,2.75,150.0,0,BUY,0.607,1,2025-12-23T15:20:00+09:00,7270.83,4362.498,8312.115,5381.778,0.25,1.8,1.4,0.0,0.25,0.85,0.95,0.65,0.75,DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,0,1.5870623698466635,50.0,-508.55849717938963,3480.2860167137446,43.0,,,,,,,,,,,0.2
pred_GS건설_006360.csv,GS건설,006360,h1,20100.0,19990.0,20880.0,19670.0,2.78,145.0,0,BUY,0.544,1,2025-12-23T15:20:00+09:00,723.333,434.0,545.766,460.995,0.55,0.7,1.4,0.3,0.25,0.5,0.2,0.7,0.7,DA<MIN,|Bias|>r*MAE,MAPE>MAX;|Bias|>r*MAE,0,1.8728551609036606,50.0,-142.30462477650744,361.0866356589076,43.0,,,,,,,,,,,0.2
pred_미원에스씨_268280.csv,미원에스씨,268280,h2,145700.0,144790.0,152210.0,142080.0,2.74,145.0,0,BUY,0.593,2,2025-12-24T15:20:00+09:00,6033.336,3620.002,4253.741,3620.002,1.95,0.15,0.55,1.0,0.95,0.15,0.0,0.35,0.2,MAPE>MAX;DA<MIN;|Bias|>r*MAE,,|Bias|>r*MAE,0,,,,,,,,,,,1.4979554076987764,61.904761904761905,-807.8663329283396,2076.7619005271367,42.0,0.2
pred_오리온홀딩스_001800.csv,오리온홀딩스,001800,h1,21100.0,21000.0,21760.0,20740.0,2.92,140.0,0,BUY,0.659,1,2025-12-23T15:20:00+09:00,614.584,368.75,368.75,368.75,0.0,1.0,1.0,0.0,0.0,0.75,0.25,0.75,0.25,,DA<MIN,DA<MIN,0,1.3656458106555431,64.28571428571429,-12.245826263759989,272.7323416915055,43.0,,,,,,,,,,,0.2
pred_HL만도_204320.csv,HL만도,204320,h1,55600.0,55000.0,59860.0,53230.0,2.75,140.0,0,BUY,0.461,1,2025-12-23T15:20:00+09:00,3949.999,2369.999,2369.999,2369.999,1.05,1.15,1.7,0.3,0.75,0.45,0.7,0.75,0.95,MAPE>MAX;DA<MIN,MAPE>MAX;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,3.481914512568321,45.23809523809524,-591.2543718204944,1588.0148871000429,43.0,,,,,,,,,,,0.2
