source_file,종목명,종목코드,권장호라이즌,last_close,매수가(entry),익절가(tp),손절가(sl),RR,Score_1w,ord_qty,side,confidence,holding_days,valid_until,ATR,buf_close,buf_high,buf_low,요약점수(h1),요약점수(h2),요약점수(h3),ex_base_h1,ex_pen_h1,ex_base_h2,ex_pen_h2,ex_base_h3,ex_pen_h3,flags_h1,flags_h2,flags_h3,warn_bad_RR,h1_MAPE(%),h1_DirAcc(%),h1_Bias,h1_MAE,h1_count,h3_MAPE(%),h3_DirAcc(%),h3_Bias,h3_MAE,h3_count,h2_MAPE(%),h2_DirAcc(%),h2_Bias,h2_MAE,h2_count
pred_하나금융지주_086790.csv,하나금융지주,086790,h1,92000.0,91530.0,95320.0,90160.0,2.77,135.0,1,BUY,0.406,1,2025-11-10T15:20:00+09:00,3041.666,1846.366,1825.0,1825.0,0.525,1.475,1.85,0.075,0.45,0.525,0.95,0.9,0.95,DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,2.08441864250443,52.38095238095239,-1730.3807821384692,1846.3657842126,43.0,,,,,,,,,,
pred_한온시스템_018880.csv,한온시스템,018880,h1,4275.0,4230.0,4580.0,4110.0,2.92,130.0,1,BUY,0.52,1,2025-11-10T15:20:00+09:00,291.25,174.75,174.75,186.995,0.25,1.55,1.65,0.0,0.25,0.6,0.95,0.9,0.75,DA<MIN,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,0,2.4993428105399875,54.761904761904766,37.2833623026692,90.76522870119233,43.0,,,,,,,,,,
pred_현대백화점_069960.csv,현대백화점,069960,h2,91400.0,90720.0,96250.0,88710.0,2.75,130.0,1,BUY,0.339,2,2025-11-10T15:20:00+09:00,3175.001,2697.374,1983.495,2318.575,1.75,1.05,1.35,0.8,0.95,0.1,0.95,0.6,0.75,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,0,,,,,,,,,,,3.235100348963656,47.61904761904761,-2406.351970916702,2697.3743320930566,42.0
pred_삼성화재_000810.csv,삼성화재,000810,h1,487999.97,485670.0,504700.0,478720.0,2.74,130.0,1,BUY,0.396,1,2025-11-10T15:20:00+09:00,14125.005,9283.206,8475.003,8475.003,0.675,1.875,1.3,0.225,0.45,0.925,0.95,0.35,0.95,DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,2.021371201814893,45.23809523809524,-8045.930723118233,9283.205586117365,43.0,,,,,,,,,,
pred_두산로보틱스_454910.csv,두산로보틱스,454910,h2,77099.99,76260.0,83080.0,73780.0,2.75,125.0,1,BUY,0.408,2,2025-11-10T15:20:00+09:00,5541.669,3325.001,3449.098,3325.001,1.6,0.95,1.8,0.65,0.95,0.0,0.95,0.85,0.95,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,,,,,,,,,,,3.78638201900343,54.761904761904766,-1538.6565167279464,2878.601313346908,42.0
pred_LS_006260.csv,LS,006260,h1,202000.01,200060.0,215940.0,194260.0,2.74,125.0,1,BUY,0.633,1,2025-11-10T15:20:00+09:00,12908.329,7744.998,8079.334,7744.998,0.0,1.8,1.6,0.0,0.0,0.85,0.95,0.65,0.95,,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,2.1193777009874424,69.04761904761905,267.15765734051683,4072.54793713259,43.0,,,,,,,,,,
pred_HD현대_267250.csv,HD현대,267250,h1,207500.02,205030.0,225220.0,197660.0,2.74,125.0,1,BUY,0.594,1,2025-11-10T15:20:00+09:00,16408.333,9845.0,9845.0,9845.0,0.65,0.95,1.65,0.15,0.5,0.45,0.5,0.9,0.75,MAPE>MAX,MAPE>MAX,MAPE>MAX;DA<MIN,0,2.5909516298167286,61.904761904761905,188.10966734042145,4665.791388635458,43.0,,,,,,,,,,
pred_하이브_352820.csv,하이브,352820,h1,305499.98,303050.0,323110.0,295720.0,2.74,125.0,1,BUY,0.433,1,2025-11-10T15:20:00+09:00,16312.489,9787.493,18739.601,9787.493,0.45,1.95,1.45,0.0,0.45,1.0,0.95,0.5,0.95,DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,0,2.4584813143473667,52.38095238095239,4539.849286162577,7174.647402624747,43.0,,,,,,,,,,
pred_SK케미칼_285130.csv,SK케미칼,285130,h2,70300.0,69720.0,74400.0,68020.0,2.75,120.0,1,BUY,0.342,2,2025-11-10T15:20:00+09:00,3716.665,2282.836,3017.911,2229.999,1.95,1.05,1.15,1.0,0.95,0.1,0.95,0.4,0.75,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN;|Bias|>r*MAE,MAPE>MAX;DA<MIN,0,,,,,,,,,,,3.522542470926397,52.38095238095239,-1879.443528822489,2282.835693870271,42.0
pred_LG화학_051910.csv,LG화학,051910,h2,382000.01,378940.0,403990.0,369790.0,2.74,120.0,1,BUY,0.538,2,2025-11-10T15:20:00+09:00,19708.337,12219.874,12893.445,17113.599,1.05,0.75,1.65,0.35,0.7,0.25,0.5,0.9,0.75,MAPE>MAX;|Bias|>r*MAE,MAPE>MAX,MAPE>MAX;DA<MIN,0,,,,,,,,,,,3.608318144406184,64.28571428571429,2428.5009659472034,12219.873627026882,42.0
